,target
1,24.0
2,49.0
3,21.0
4,28.0
5,18.0
6,21.0
7,24.0
8,31.0
9,29.0
10,23.0
11,40.0
12,52.0
13,60.0
14,46.0
15,53.0
16,54.0
17,31.0
18,45.0
19,27.0
20,15.0
21,41.0
22,42.0
23,47.0
24,40.0
25,23.0
26,15.0
27,13.0
28,22.0
29,22.0
30,42.0
31,50.0
32,57.0
33,51.0
34,45.0
35,24.0
36,21.0
37,18.0
38,16.0
39,34.0
40,57.0
41,50.0
42,48.0
43,41.0
44,47.0
45,60.0
46,52.0
47,52.0
48,44.0
49,30.0
50,36.0
51,50.0
52,59.0
53,52.0
54,32.0
55,34.0
56,38.0
57,42.0
58,20.0
59,15.0
60,18.0
61,30.0
62,45.0
63,47.0
64,33.0
65,29.0
66,43.0
67,36.0
68,19.0
69,24.0
70,32.0
71,48.0
72,54.0
73,50.0
74,29.0
75,48.0
76,61.0
77,34.0
78,38.0
79,30.0
80,21.0
81,21.0
82,34.0
83,50.0
84,38.0
85,25.0
86,53.0
87,72.0
88,50.0
89,21.0
90,46.0
91,21.0
92,30.0
93,42.0
94,61.0
95,38.0
96,55.0
97,50.0
98,30.0
99,42.0
100,13.0
101,17.0
102,17.0
103,25.0
104,30.0
105,55.0
106,55.0
107,61.0
108,38.0
109,30.0
110,21.0
111,21.0
112,70.0
113,72.0
114,21.0
115,46.0
116,42.0
117,50.0
118,76.0
119,34.0
120,38.0
121,61.0
122,59.0
123,25.0
124,21.0
125,25.0
126,38.0
127,25.0
128,38.0
129,34.0
130,53.0
131,61.0
132,53.0
133,42.0
134,53.0
135,50.0
136,17.0
137,13.0
138,13.0
139,17.0
140,73.0
141,117.0
142,42.0
143,124.0
144,75.0
145,157.0
146,138.0
147,161.0
148,152.0
149,39.0
150,48.0
151,81.0
152,90.0
153,95.0
154,84.0
155,130.0
156,66.0
157,56.0
158,72.0
159,67.0
160,53.0
161,43.0
162,93.0
163,59.0
164,41.0
165,89.0
166,58.0
167,90.0
168,139.0
169,59.0
170,75.0
171,88.0
172,28.0
173,55.0
174,76.0
175,112.0
176,80.0
177,81.0
178,76.0
179,75.0
180,107.0
181,98.0
182,101.0
183,98.0
184,29.0
185,123.0
186,120.0
187,72.0
188,107.0
189,60.0
190,13.0
191,15.0
192,17.0
193,12.0
194,21.0
195,11.0
196,9.0
197,16.0
198,10.0
199,7.0
200,25.0
201,14.0
202,14.0
203,13.0
204,10.0
205,15.0
206,8.0
207,8.0
208,20.0
209,13.0
210,16.0
211,13.0
212,13.0
213,18.0
214,13.0
215,16.0
216,17.0
217,19.0
218,15.0
219,13.0
220,87.0
221,85.0
222,104.0
223,129.0
224,142.0
225,151.0
226,137.0
227,139.0
228,127.0
229,74.0
230,76.0
231,89.0
232,91.0
233,97.0
234,107.0
235,112.0
236,142.0
237,149.0
238,139.0
239,109.0
240,93.0
241,93.0
242,63.0
243,59.0
244,55.0
245,61.0
246,68.0
247,89.0
248,112.0
249,147.0
250,149.0
251,149.0
252,114.0
253,82.0
254,82.0
255,80.0
256,91.0
257,124.0
258,114.0
259,55.0
260,53.0
261,55.0
262,59.0
263,82.0
264,117.0
265,152.0
266,134.0
267,117.0
268,117.0
269,159.0
270,162.0
271,112.0
272,76.0
273,74.0
274,74.0
275,53.0
276,57.0
277,55.0
278,57.0
279,63.0
280,74.0
281,72.0
282,87.0
283,72.0
284,65.0
285,61.0
286,68.0
287,78.0
288,70.0
289,61.0
290,61.0
291,61.0
292,61.0
293,61.0
294,59.0
295,57.0
296,59.0
297,55.0
298,55.0
299,61.0
300,55.0
301,63.0
302,68.0
303,55.0
304,53.0
305,53.0
306,3.0
307,7.0
308,17.0
309,5.0
310,3.0
311,13.0
312,40.0
313,25.0
314,48.0
315,50.0
316,69.0
317,2.0
318,5.0
319,20.0
320,5.0
321,7.0
322,9.0
323,15.0
324,44.0
325,21.0
326,55.0
327,71.0
328,97.0
329,9.0
330,11.0
331,9.0
332,8.0
333,7.0
334,2.0
335,139.0
336,149.0
337,70.0
338,63.0
339,82.0
340,72.0
341,122.0
342,59.0
343,89.0
344,97.0
345,95.0
346,117.0
347,55.0
348,72.0
349,74.0
350,95.0
351,99.0
352,72.0
353,63.0
354,21.0
355,46.0
356,72.0
357,80.0
358,89.0
359,87.0
360,76.0
361,93.0
362,63.0
363,65.0
364,61.0
365,80.0
366,70.0
367,74.0
368,74.0
369,59.0
370,55.0
371,59.0
372,70.0
373,74.0
374,34.0
375,63.0
376,95.0
377,72.0
378,70.0
379,68.0
380,70.0
381,65.0
382,63.0
383,46.0
384,76.0
385,38.0
386,21.0
387,17.0
388,21.0
389,21.0
390,34.0
391,53.0
392,34.0
393,30.0
394,25.0
395,42.0
396,30.0
397,13.0
398,17.0
399,9.0
400,13.0
401,50.0
402,34.0
403,13.0
404,50.0
405,17.0
406,25.0
407,21.0
408,38.0
409,42.0
410,25.0
411,17.0
412,21.0
413,34.0
414,42.0
415,30.0
416,17.0
417,21.0
418,34.0
419,21.0
420,25.0
421,21.0
422,25.0
423,21.0
424,25.0
425,46.0
426,53.0
427,25.0
428,25.0
429,25.0
430,38.0
431,38.0
432,21.0
433,34.0
434,46.0
435,50.0
436,63.0
437,55.0
438,42.0
439,55.0
440,65.0
441,74.0
442,68.0
443,70.0
444,61.0
445,61.0
446,57.0
447,70.0
448,70.0
449,70.0
450,70.0
451,63.0
452,61.0
453,76.0
454,57.0
455,76.0
456,78.0
457,99.0
458,91.0
459,72.0
460,68.0
461,61.0
462,55.0
463,57.0
464,57.0
465,59.0
466,65.0
467,78.0
468,59.0
469,46.0
470,70.0
471,65.0
472,63.0
473,59.0
474,57.0
475,57.0
476,59.0
477,65.0
478,57.0
479,42.0
480,72.0
481,78.0
482,68.0
483,59.0
484,82.0
485,91.0
486,132.0
487,102.0
488,102.0
489,78.0
490,82.0
491,74.0
492,78.0
493,74.0
494,74.0
495,89.0
496,78.0
497,80.0
498,63.0
499,55.0
500,46.0
501,50.0
502,87.0
503,57.0
504,61.0
505,85.0
506,72.0
507,63.0
508,61.0
509,57.0
510,57.0
511,63.0
512,53.0
513,55.0
514,97.0
515,109.0
516,155.0
517,153.0
518,91.0
519,142.0
520,93.0
521,78.0
522,132.0
523,85.0
524,95.0
525,91.0
526,114.0
527,99.0
528,107.0
529,97.0
530,104.0
531,117.0
532,89.0
533,89.0
534,98.0
535,71.0
536,126.0
537,117.0
538,66.0
539,65.0
540,93.0
541,114.0
542,128.0
543,95.0
544,152.0
545,185.0
546,168.0
547,163.0
548,164.0
549,167.0
550,166.0
551,181.0
552,164.0
553,161.0
554,164.0
555,163.0
556,161.0
557,174.0
558,169.0
559,163.0
560,149.0
561,150.0
562,154.0
563,153.0
564,157.0
565,164.0
566,190.0
567,186.0
568,183.0
569,169.0
570,158.0
571,120.0
572,91.0
573,51.0
574,69.0
575,103.0
576,93.0
577,96.0
578,151.0
579,109.0
580,124.0
581,93.0
582,62.0
583,105.0
584,139.0
585,152.0
586,153.0
587,95.0
588,124.0
589,156.0
590,143.0
591,86.0
592,98.0
593,90.0
594,70.0
595,100.0
596,149.0
597,158.0
598,130.0
599,34.0
600,46.0
601,50.0
602,30.0
603,42.0
604,59.0
605,76.0
606,76.0
607,42.0
608,59.0
609,59.0
610,38.0
611,46.0
612,63.0
613,59.0
614,57.0
615,78.0
616,55.0
617,46.0
618,34.0
619,38.0
620,53.0
621,50.0
622,55.0
623,42.0
624,34.0
625,63.0
626,55.0
627,50.0
628,61.0
629,46.0
630,46.0
631,46.0
632,61.0
633,76.0
634,46.0
635,25.0
636,38.0
637,46.0
638,63.0
639,55.0
640,63.0
641,42.0
642,25.0
643,25.0
644,55.0
645,42.0
646,34.0
647,42.0
648,38.0
649,55.0
650,34.0
651,50.0
652,46.0
653,30.0
654,53.0
655,61.0
656,25.0
657,30.0
658,50.0
659,42.0
660,57.0
661,72.0
662,25.0
663,25.0
664,42.0
665,61.0
666,65.0
667,25.0
668,34.0
669,23.0
670,26.0
671,25.0
672,17.0
673,32.0
674,30.0
675,49.0
676,15.0
677,29.0
678,25.0
679,28.0
680,26.0
681,34.0
682,30.0
683,31.0
684,25.0
685,34.0
686,21.0
687,21.0
688,46.0
689,34.0
690,29.0
691,20.0
692,30.0
693,23.0
694,23.0
695,30.0
696,20.0
697,23.0
698,25.0
699,41.0
700,74.0
701,82.0
702,129.0
703,74.0
704,74.0
705,87.0
706,74.0
707,76.0
708,68.0
709,89.0
710,127.0
711,137.0
712,129.0
713,95.0
714,95.0
715,85.0
716,87.0
717,70.0
718,127.0
719,107.0
720,78.0
721,95.0
722,117.0
723,109.0
724,152.0
725,139.0
726,70.0
727,74.0
728,82.0
729,91.0
730,107.0
731,129.0
732,112.0
733,151.0
734,61.0
735,65.0
736,70.0
737,76.0
738,87.0
739,124.0
740,149.0
741,107.0
742,119.0
743,129.0
744,114.0
745,172.0
746,107.0
747,119.0
748,151.0
749,144.0
750,129.0
751,65.0
752,89.0
753,107.0
754,124.0
755,109.0
756,177.0
757,155.0
758,129.0
759,159.0
760,158.0
761,122.0
762,97.0
763,99.0
764,95.0
765,97.0
766,107.0
767,114.0
768,91.0
769,91.0
770,112.0
771,99.0
772,97.0
773,89.0
774,127.0
775,147.0
776,99.0
777,99.0
778,112.0
779,119.0
780,89.0
781,76.0
782,87.0
783,112.0
784,134.0
785,134.0
786,153.0
787,154.0
788,151.0
789,154.0
790,91.0
791,95.0
792,97.0
793,97.0
794,114.0
795,119.0
796,147.0
797,151.0
798,151.0
799,107.0
800,85.0
801,89.0
802,61.0
803,57.0
804,38.0
805,50.0
806,65.0
807,68.0
808,102.0
809,112.0
810,149.0
811,152.0
812,139.0
813,117.0
