,target
1,39.0
2,24.0
3,49.0
4,21.0
5,28.0
6,21.0
7,18.0
8,21.0
9,24.0
10,31.0
11,25.0
12,29.0
13,23.0
14,40.0
15,52.0
16,60.0
17,52.0
18,46.0
19,53.0
20,54.0
21,34.0
22,31.0
23,45.0
24,27.0
25,15.0
26,41.0
27,42.0
28,42.0
29,47.0
30,40.0
31,23.0
32,22.0
33,15.0
34,13.0
35,22.0
36,22.0
37,45.0
38,42.0
39,50.0
40,57.0
41,51.0
42,45.0
43,27.0
44,24.0
45,21.0
46,18.0
47,16.0
48,24.0
49,34.0
50,57.0
51,50.0
52,48.0
53,49.0
54,41.0
55,47.0
56,60.0
57,52.0
58,52.0
59,44.0
60,30.0
61,36.0
62,50.0
63,59.0
64,52.0
65,32.0
66,34.0
67,38.0
68,42.0
69,31.0
70,20.0
71,15.0
72,18.0
73,30.0
74,45.0
75,47.0
76,33.0
77,29.0
78,43.0
79,36.0
80,19.0
81,24.0
82,21.0
83,32.0
84,48.0
85,33.0
86,54.0
87,50.0
88,29.0
89,48.0
90,58.0
91,59.0
92,61.0
93,45.0
94,34.0
95,38.0
96,42.0
97,30.0
98,21.0
99,46.0
100,50.0
101,21.0
102,21.0
103,34.0
104,50.0
105,38.0
106,25.0
107,53.0
108,72.0
109,80.0
110,61.0
111,50.0
112,21.0
113,46.0
114,38.0
115,21.0
116,25.0
117,30.0
118,38.0
119,17.0
120,50.0
121,42.0
122,42.0
123,61.0
124,38.0
125,55.0
126,50.0
127,30.0
128,42.0
129,42.0
130,34.0
131,13.0
132,17.0
133,25.0
134,17.0
135,25.0
136,30.0
137,42.0
138,65.0
139,55.0
140,55.0
141,38.0
142,65.0
143,61.0
144,38.0
145,30.0
146,21.0
147,21.0
148,70.0
149,72.0
150,50.0
151,21.0
152,17.0
153,42.0
154,46.0
155,42.0
156,50.0
157,76.0
158,42.0
159,34.0
160,38.0
161,61.0
162,59.0
163,38.0
164,25.0
165,21.0
166,25.0
167,38.0
168,25.0
169,38.0
170,34.0
171,53.0
172,61.0
173,53.0
174,42.0
175,38.0
176,53.0
177,50.0
178,17.0
179,21.0
180,13.0
181,13.0
182,17.0
183,38.0
184,73.0
185,117.0
186,128.0
187,119.0
188,101.0
189,115.0
190,67.0
191,42.0
192,124.0
193,75.0
194,131.0
195,157.0
196,138.0
197,161.0
198,152.0
199,66.0
200,39.0
201,48.0
202,62.0
203,45.0
204,83.0
205,96.0
206,81.0
207,90.0
208,95.0
209,84.0
210,78.0
211,130.0
212,66.0
213,66.0
214,56.0
215,72.0
216,93.0
217,67.0
218,53.0
219,30.0
220,43.0
221,45.0
222,46.0
223,93.0
224,59.0
225,41.0
226,89.0
227,84.0
228,56.0
229,60.0
230,58.0
231,90.0
232,139.0
233,126.0
234,114.0
235,56.0
236,59.0
237,81.0
238,75.0
239,88.0
240,83.0
241,28.0
242,62.0
243,55.0
244,76.0
245,112.0
246,91.0
247,96.0
248,80.0
249,81.0
250,76.0
251,75.0
252,68.0
253,107.0
254,98.0
255,101.0
256,98.0
257,77.0
258,23.0
259,29.0
260,76.0
261,51.0
262,56.0
263,123.0
264,120.0
265,68.0
266,62.0
267,40.0
268,43.0
269,60.0
270,60.0
271,82.0
272,72.0
273,107.0
274,64.0
275,57.0
276,60.0
277,92.0
278,17.0
279,18.0
280,17.0
281,15.0
282,28.0
283,13.0
284,13.0
285,33.0
286,16.0
287,8.0
288,11.0
289,33.0
290,10.0
291,33.0
292,13.0
293,18.0
294,41.0
295,21.0
296,8.0
297,18.0
298,20.0
299,12.0
300,11.0
301,15.0
302,25.0
303,37.0
304,40.0
305,14.0
306,28.0
307,9.0
308,13.0
309,11.0
310,17.0
311,13.0
312,11.0
313,20.0
314,26.0
315,25.0
316,9.0
317,8.0
318,15.0
319,10.0
320,17.0
321,17.0
322,12.0
323,15.0
324,9.0
325,10.0
326,21.0
327,10.0
328,11.0
329,9.0
330,14.0
331,14.0
332,16.0
333,18.0
334,11.0
335,25.0
336,16.0
337,10.0
338,10.0
339,7.0
340,9.0
341,25.0
342,14.0
343,14.0
344,10.0
345,13.0
346,12.0
347,15.0
348,14.0
349,13.0
350,10.0
351,9.0
352,15.0
353,8.0
354,8.0
355,20.0
356,13.0
357,16.0
358,22.0
359,22.0
360,25.0
361,33.0
362,13.0
363,13.0
364,18.0
365,13.0
366,16.0
367,17.0
368,19.0
369,13.0
370,15.0
371,13.0
372,87.0
373,85.0
374,104.0
375,129.0
376,142.0
377,151.0
378,137.0
379,139.0
380,127.0
381,74.0
382,76.0
383,89.0
384,91.0
385,97.0
386,107.0
387,112.0
388,142.0
389,149.0
390,139.0
391,109.0
392,93.0
393,93.0
394,63.0
395,59.0
396,50.0
397,55.0
398,61.0
399,68.0
400,89.0
401,112.0
402,147.0
403,149.0
404,149.0
405,114.0
406,82.0
407,82.0
408,80.0
409,91.0
410,124.0
411,104.0
412,129.0
413,114.0
414,55.0
415,53.0
416,55.0
417,53.0
418,59.0
419,82.0
420,117.0
421,152.0
422,134.0
423,117.0
424,117.0
425,159.0
426,162.0
427,112.0
428,97.0
429,87.0
430,76.0
431,74.0
432,74.0
433,55.0
434,53.0
435,57.0
436,55.0
437,57.0
438,63.0
439,74.0
440,72.0
441,87.0
442,72.0
443,65.0
444,61.0
445,68.0
446,78.0
447,70.0
448,61.0
449,61.0
450,61.0
451,61.0
452,61.0
453,59.0
454,57.0
455,59.0
456,55.0
457,55.0
458,61.0
459,55.0
460,63.0
461,68.0
462,55.0
463,53.0
464,53.0
465,53.0
466,69.0
467,81.0
468,20.0
469,5.0
470,5.0
471,8.0
472,3.0
473,7.0
474,37.0
475,34.0
476,77.0
477,13.0
478,33.0
479,17.0
480,17.0
481,27.0
482,61.0
483,26.0
484,7.0
485,7.0
486,22.0
487,25.0
488,21.0
489,5.0
490,3.0
491,5.0
492,11.0
493,8.0
494,17.0
495,13.0
496,25.0
497,40.0
498,75.0
499,42.0
500,50.0
501,25.0
502,38.0
503,48.0
504,50.0
505,69.0
506,68.0
507,11.0
508,8.0
509,2.0
510,5.0
511,40.0
512,20.0
513,21.0
514,5.0
515,7.0
516,9.0
517,15.0
518,44.0
519,20.0
520,21.0
521,55.0
522,71.0
523,97.0
524,9.0
525,11.0
526,9.0
527,8.0
528,10.0
529,7.0
530,2.0
531,87.0
532,139.0
533,149.0
534,70.0
535,63.0
536,82.0
537,72.0
538,78.0
539,102.0
540,122.0
541,59.0
542,89.0
543,97.0
544,95.0
545,117.0
546,55.0
547,72.0
548,102.0
549,74.0
550,95.0
551,99.0
552,72.0
553,63.0
554,70.0
555,34.0
556,21.0
557,46.0
558,72.0
559,80.0
560,89.0
561,87.0
562,87.0
563,76.0
564,53.0
565,57.0
566,61.0
567,76.0
568,30.0
569,55.0
570,74.0
571,95.0
572,93.0
573,53.0
574,42.0
575,55.0
576,17.0
577,50.0
578,50.0
579,63.0
580,65.0
581,61.0
582,80.0
583,70.0
584,74.0
585,74.0
586,59.0
587,55.0
588,63.0
589,59.0
590,72.0
591,63.0
592,63.0
593,57.0
594,34.0
595,70.0
596,74.0
597,63.0
598,61.0
599,34.0
600,72.0
601,85.0
602,89.0
603,63.0
604,95.0
605,72.0
606,80.0
607,89.0
